seller,name,price,link
Mediamarkt,SAMSUNG Galaxy A32 128 GB Akıllı Telefon Siyah,8499,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-a32-128-gb-ak%C4%B1ll%C4%B1-telefon-siyah-1215476.html
Mediamarkt,SAMSUNG Galaxy A33 128 GB Akıllı Telefon Turuncu,9699,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-a33-128-gb-ak%C4%B1ll%C4%B1-telefon-turuncu-1220765.html
Mediamarkt,SAMSUNG Galaxy S22 Ultra 512 GB Akıllı Telefon Burgundy,37999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-s22-ultra-512-gb-ak%C4%B1ll%C4%B1-telefon-burgundy-1220209.html
Mediamarkt,SAMSUNG Galaxy A32 128 GB Akıllı Telefon Violet,8499,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-a32-128-gb-ak%C4%B1ll%C4%B1-telefon-violet-1215478.html
Mediamarkt,SAMSUNG Galaxy S22 Ultra 256GB Akıllı Telefon Phantom Black,35999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-s22-ultra-256gb-ak%C4%B1ll%C4%B1-telefon-phantom-black-1220205.html
Mediamarkt,XIAOMI Redmi 10 128GB Akıllı Telefon Beyaz,6999,https://www.mediamarkt.com.tr/tr/product/_x%C4%B1aom%C4%B1-redmi-10-128gb-ak%C4%B1ll%C4%B1-telefon-beyaz-1220908.html
Mediamarkt,REALME C11 2021 32 GB Akıllı Telefon Gri,3399,https://www.mediamarkt.com.tr/tr/product/_realme-c11-2021-32-gb-ak%C4%B1ll%C4%B1-telefon-gri-1218163.html
Mediamarkt,XIAOMI Redmi 10C 64B Akıllı Telefon Grafit Grisi,5999,https://www.mediamarkt.com.tr/tr/product/_x%C4%B1aom%C4%B1-redmi-10c-64b-ak%C4%B1ll%C4%B1-telefon-grafit-grisi-1225331.html
Mediamarkt,XIAOMI 12T 256GB Akıllı Telefon Mavi,19999,https://www.mediamarkt.com.tr/tr/product/_x%C4%B1aom%C4%B1-12t-256gb-ak%C4%B1ll%C4%B1-telefon-mavi-1224220.html
Mediamarkt,REALME C21Y 64GB Akıllı Telefon Çapraz Siyah,4099,https://www.mediamarkt.com.tr/tr/product/_realme-c21y-64gb-ak%C4%B1ll%C4%B1-telefon-%C3%A7apraz-siyah-1219170.html
Mediamarkt,XIAOMI Redmi 10 64GB Akıllı Telefon Gri,6499,https://www.mediamarkt.com.tr/tr/product/_x%C4%B1aom%C4%B1-redmi-10-64gb-ak%C4%B1ll%C4%B1-telefon-gri-1220955.html
Mediamarkt,SAMSUNG Galaxy S22 128GB Akıllı Telefon Green,21999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-s22-128gb-ak%C4%B1ll%C4%B1-telefon-green-1220213.html
Mediamarkt,SAMSUNG Galaxy S22 Ultra 512GB Akıllı Telefon Phantom White,37999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-s22-ultra-512gb-ak%C4%B1ll%C4%B1-telefon-phantom-white-1220216.html
Mediamarkt,XIAOMI Redmi 10C 64B Akıllı Telefon Okyanus Mavisi,5999,https://www.mediamarkt.com.tr/tr/product/_x%C4%B1aom%C4%B1-redmi-10c-64b-ak%C4%B1ll%C4%B1-telefon-okyanus-mavisi-1225332.html
Mediamarkt,SAMSUNG Galaxy Z Fold 4 256GB Akıllı Telefon Siyah,41999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-z-fold-4-256gb-ak%C4%B1ll%C4%B1-telefon-siyah-1222819.html
Mediamarkt,ALCATEL 1068D Tuşlu Telefon Siyah,799,https://www.mediamarkt.com.tr/tr/product/_alcatel-1068d-tu%C5%9Flu-telefon-siyah-1222530.html
Mediamarkt,REALME C21Y 64GB Akıllı Telefon Çapraz Mavi,4099,https://www.mediamarkt.com.tr/tr/product/_realme-c21y-64gb-ak%C4%B1ll%C4%B1-telefon-%C3%A7apraz-mavi-1219171.html
Mediamarkt,SAMSUNG Galaxy S22 128GB Akıllı Telefon Phantom White,21999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-s22-128gb-ak%C4%B1ll%C4%B1-telefon-phantom-white-1220211.html
Mediamarkt,OPPO A55 128 GB Akıllı Telefon Gökkuşağı Mavisi,5999,https://www.mediamarkt.com.tr/tr/product/_oppo-a55-128-gb-ak%C4%B1ll%C4%B1-telefon-g%C3%B6kku%C5%9Fa%C4%9F%C4%B1-mavisi-1221860.html
Mediamarkt,REALME C11 2021 32 GB Akıllı Telefon Mavi,3399,https://www.mediamarkt.com.tr/tr/product/_realme-c11-2021-32-gb-ak%C4%B1ll%C4%B1-telefon-mavi-1218165.html
Mediamarkt,SAMSUNG Galaxy Z Flip 4 128GB Akıllı Telefon Gri,27999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-z-flip-4-128gb-ak%C4%B1ll%C4%B1-telefon-gri-1222822.html
Mediamarkt,ALCATEL 1068D Tuşlu Telefon Beyaz,799,https://www.mediamarkt.com.tr/tr/product/_alcatel-1068d-tu%C5%9Flu-telefon-beyaz-1222525.html
Mediamarkt,HUAWEI Nova Y70 128GB Akıllı Telefon Gece Yarısı Siyah,5999,https://www.mediamarkt.com.tr/tr/product/_huawe%C4%B1-nova-y70-128gb-ak%C4%B1ll%C4%B1-telefon-gece-yar%C4%B1s%C4%B1-siyah-1222714.html
Mediamarkt,SAMSUNG Galaxy S22 128GB Akıllı Telefon Pink Gold,21999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-s22-128gb-ak%C4%B1ll%C4%B1-telefon-pink-gold-1220214.html
Mediamarkt,APPLE iPhone 12 256GB Akıllı Telefon Beyaz,26499,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-12-256gb-ak%C4%B1ll%C4%B1-telefon-beyaz-1212822.html
Mediamarkt,OPPO A55 128GB Akıllı Telefon Işıltılı Siyah,5999,https://www.mediamarkt.com.tr/tr/product/_oppo-a55-128gb-ak%C4%B1ll%C4%B1-telefon-%C4%B1%C5%9F%C4%B1lt%C4%B1l%C4%B1-siyah-1221858.html
Mediamarkt,APPLE iPhone 13 512 GB Akıllı Telefon Mavi MLQG3TU/A,31999,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-13-512-gb-ak%C4%B1ll%C4%B1-telefon-mavi-mlqg3tu-a-1217619.html
Mediamarkt,TCL 20 E 32 GB Akıllı Telefon Mavi,3499,https://www.mediamarkt.com.tr/tr/product/_tcl-20-e-32-gb-ak%C4%B1ll%C4%B1-telefon-mavi-1217712.html
Mediamarkt,APPLE iPhone 14 Pro 1TB Akıllı Telefon Gold MQ2V3TU/A,53199,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-14-pro-1tb-ak%C4%B1ll%C4%B1-telefon-gold-mq2v3tu-a-1223400.html
Mediamarkt,XIAOMI Poco X4 Pro 8GB/256GB Akıllı Telefon Siyah,14799,https://www.mediamarkt.com.tr/tr/product/_x%C4%B1aom%C4%B1-poco-x4-pro-8gb-256gb-ak%C4%B1ll%C4%B1-telefon-siyah-1220965.html
Mediamarkt,APPLE iPhone 14 Plus 256GB Akıllı Telefon Kırmızı MQ573TU/A,37599,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-14-plus-256gb-ak%C4%B1ll%C4%B1-telefon-k%C4%B1rm%C4%B1z%C4%B1-mq573tu-a-1223379.html
Mediamarkt,SAMSUNG Galaxy A32 128 GB Akıllı Telefon Beyaz,8499,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-a32-128-gb%C2%A0ak%C4%B1ll%C4%B1-telefon-beyaz-1215475.html
Mediamarkt,HUAWEI Nova Y90 128GB Akıllı Telefon Gece Yarısı Siyahı,7499,https://www.mediamarkt.com.tr/tr/product/_huawe%C4%B1-nova-y90-128gb-ak%C4%B1ll%C4%B1-telefon-gece-yar%C4%B1s%C4%B1-siyah%C4%B1-1222702.html
